DATE,OPEN
2016-12-14T09:15:00+0530,1350.05
2016-12-14T09:16:00+0530,1345.75
2016-12-14T09:17:00+0530,1347.35
2016-12-14T09:18:00+0530,1346.35
2016-12-14T09:19:00+0530,1345.45
2016-12-14T09:20:00+0530,1346.1
2016-12-14T09:21:00+0530,1346.05
2016-12-14T09:22:00+0530,1344.05
2016-12-14T09:23:00+0530,1345.15
2016-12-14T09:24:00+0530,1345.8
2016-12-14T09:25:00+0530,1345.7
2016-12-14T09:26:00+0530,1346.95
2016-12-14T09:27:00+0530,1345.55
2016-12-14T09:28:00+0530,1344.8
2016-12-14T09:29:00+0530,1344.5
2016-12-14T09:30:00+0530,1343
2016-12-14T09:31:00+0530,1345.7
2016-12-14T09:32:00+0530,1341.5
2016-12-14T09:33:00+0530,1341.1
2016-12-14T09:34:00+0530,1337.8
2016-12-14T09:35:00+0530,1336
2016-12-14T09:36:00+0530,1336
2016-12-14T09:37:00+0530,1338.4
2016-12-14T09:38:00+0530,1337.35
2016-12-14T09:39:00+0530,1339.95
2016-12-14T09:40:00+0530,1343.85
2016-12-14T09:41:00+0530,1340.5
2016-12-14T09:42:00+0530,1340
2016-12-14T09:43:00+0530,1339
2016-12-14T09:44:00+0530,1334.95
2016-12-14T09:45:00+0530,1337.5
2016-12-14T09:46:00+0530,1340.65
2016-12-14T09:47:00+0530,1338.2
2016-12-14T09:48:00+0530,1338.2
2016-12-14T09:49:00+0530,1339.05
2016-12-14T09:50:00+0530,1336.75
2016-12-14T09:51:00+0530,1337.1
2016-12-14T09:52:00+0530,1336.7
2016-12-14T09:53:00+0530,1338.65
2016-12-14T09:54:00+0530,1337.2
2016-12-14T09:55:00+0530,1337
2016-12-14T09:56:00+0530,1339.4
2016-12-14T09:57:00+0530,1337.7
2016-12-14T09:58:00+0530,1337
2016-12-14T09:59:00+0530,1337.95
2016-12-14T10:00:00+0530,1336.25
2016-12-14T10:01:00+0530,1339
2016-12-14T10:02:00+0530,1338
2016-12-14T10:03:00+0530,1339.1
2016-12-14T10:04:00+0530,1339.15
2016-12-14T10:05:00+0530,1339.15
2016-12-14T10:06:00+0530,1340.35
2016-12-14T10:07:00+0530,1339.5
2016-12-14T10:08:00+0530,1339.85
2016-12-14T10:09:00+0530,1339.25
2016-12-14T10:10:00+0530,1339.5
2016-12-14T10:11:00+0530,1338.05
2016-12-14T10:12:00+0530,1338.55
2016-12-14T10:13:00+0530,1338.25
2016-12-14T10:14:00+0530,1338.2
2016-12-14T10:15:00+0530,1339.45
2016-12-14T10:16:00+0530,1339.05
2016-12-14T10:17:00+0530,1339.5
2016-12-14T10:18:00+0530,1339.9
2016-12-14T10:19:00+0530,1339.95
2016-12-14T10:20:00+0530,1339.75
2016-12-14T10:21:00+0530,1339.5
2016-12-14T10:22:00+0530,1339.8
2016-12-14T10:23:00+0530,1340
2016-12-14T10:24:00+0530,1339.15
2016-12-14T10:25:00+0530,1340
2016-12-14T10:26:00+0530,1339
2016-12-14T10:27:00+0530,1339.55
2016-12-14T10:28:00+0530,1340.55
2016-12-14T10:29:00+0530,1340.1
2016-12-14T10:30:00+0530,1343.75
2016-12-14T10:31:00+0530,1343
2016-12-14T10:32:00+0530,1343.4
2016-12-14T10:33:00+0530,1340.45
2016-12-14T10:34:00+0530,1341
2016-12-14T10:35:00+0530,1342.5
2016-12-14T10:36:00+0530,1342.5
2016-12-14T10:37:00+0530,1342.85
2016-12-14T10:38:00+0530,1343
2016-12-14T10:39:00+0530,1342.85
2016-12-14T10:40:00+0530,1342
2016-12-14T10:41:00+0530,1341.55
2016-12-14T10:42:00+0530,1341.1
2016-12-14T10:43:00+0530,1341.55
2016-12-14T10:44:00+0530,1341.95
2016-12-14T10:45:00+0530,1340.65
2016-12-14T10:46:00+0530,1341.7
2016-12-14T10:47:00+0530,1342.7
2016-12-14T10:48:00+0530,1343
2016-12-14T10:49:00+0530,1340.3
2016-12-14T10:50:00+0530,1340.4
2016-12-14T10:51:00+0530,1340.9
2016-12-14T10:52:00+0530,1341.05
2016-12-14T10:53:00+0530,1342.05
2016-12-14T10:54:00+0530,1342.95
2016-12-14T10:55:00+0530,1343.5
2016-12-14T10:56:00+0530,1342.9
2016-12-14T10:57:00+0530,1340.9
2016-12-14T10:58:00+0530,1340.05
2016-12-14T10:59:00+0530,1340.1
2016-12-14T11:00:00+0530,1340.6
2016-12-14T11:01:00+0530,1340.05
2016-12-14T11:02:00+0530,1340.1
2016-12-14T11:03:00+0530,1340.1
2016-12-14T11:04:00+0530,1340.5
2016-12-14T11:05:00+0530,1340.1
2016-12-14T11:06:00+0530,1340.75
2016-12-14T11:07:00+0530,1340.7
2016-12-14T11:08:00+0530,1340.25
2016-12-14T11:09:00+0530,1340.3
2016-12-14T11:10:00+0530,1341.1
2016-12-14T11:11:00+0530,1340.6
2016-12-14T11:12:00+0530,1340.55
2016-12-14T11:13:00+0530,1340.65
2016-12-14T11:14:00+0530,1341.05
2016-12-14T11:15:00+0530,1342.7
2016-12-14T11:16:00+0530,1341.25
2016-12-14T11:17:00+0530,1340.65
2016-12-14T11:18:00+0530,1341.05
2016-12-14T11:19:00+0530,1341.05
2016-12-14T11:20:00+0530,1341.5
2016-12-14T11:21:00+0530,1341.9
2016-12-14T11:22:00+0530,1341.05
2016-12-14T11:23:00+0530,1341.75
2016-12-14T11:24:00+0530,1341
2016-12-14T11:25:00+0530,1341
2016-12-14T11:26:00+0530,1340.8
2016-12-14T11:27:00+0530,1340.95
2016-12-14T11:28:00+0530,1341
2016-12-14T11:29:00+0530,1342.6
2016-12-14T11:30:00+0530,1341.25
2016-12-14T11:31:00+0530,1341
2016-12-14T11:32:00+0530,1340.65
2016-12-14T11:33:00+0530,1340.7
2016-12-14T11:34:00+0530,1340.75
2016-12-14T11:35:00+0530,1339
2016-12-14T11:36:00+0530,1339
2016-12-14T11:37:00+0530,1338.1
2016-12-14T11:38:00+0530,1338.2
2016-12-14T11:39:00+0530,1338.8
2016-12-14T11:40:00+0530,1339.05
2016-12-14T11:41:00+0530,1339
2016-12-14T11:42:00+0530,1337.7
2016-12-14T11:43:00+0530,1337
2016-12-14T11:44:00+0530,1337.8
2016-12-14T11:45:00+0530,1336.2
2016-12-14T11:46:00+0530,1339.7
2016-12-14T11:47:00+0530,1338.35
2016-12-14T11:48:00+0530,1337.75
2016-12-14T11:49:00+0530,1337.5
2016-12-14T11:50:00+0530,1337.75
2016-12-14T11:51:00+0530,1338.35
2016-12-14T11:52:00+0530,1339.9
2016-12-14T11:53:00+0530,1338.5
2016-12-14T11:54:00+0530,1338.5
2016-12-14T11:55:00+0530,1338.5
2016-12-14T11:56:00+0530,1338.55
2016-12-14T11:57:00+0530,1339
2016-12-14T11:58:00+0530,1339.75
2016-12-14T11:59:00+0530,1340.5
2016-12-14T12:00:00+0530,1339.7
2016-12-14T12:01:00+0530,1339.25
2016-12-14T12:02:00+0530,1338.85
2016-12-14T12:03:00+0530,1339.8
2016-12-14T12:04:00+0530,1339.75
2016-12-14T12:05:00+0530,1340.8
